,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
27904,10511141,HZ252349,05/03/2016 10:30:00 PM,005XX W 97TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,SPORTS ARENA/STADIUM,False,False,2223,22.0,21.0,73.0,14,1174222.0,1840563.0,2016,05/10/2016 03:56:50 PM,41.717903082,-87.63749255,"(41.717903082, -87.63749255)"
28144,10511194,HZ252201,05/03/2016 09:30:00 PM,009XX W BELMONT AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1933,19.0,44.0,6.0,14,1169596.0,1921441.0,2016,05/10/2016 03:56:50 PM,41.93994148,-87.652086737,"(41.93994148, -87.652086737)"
28671,10511221,HZ252329,05/03/2016 01:00:00 PM,031XX W MONTROSE AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,1724,17.0,33.0,14.0,06,1154500.0,1929070.0,2016,05/10/2016 03:56:50 PM,41.96119177,-87.707364558,"(41.96119177, -87.707364558)"
28693,10511249,HZ252415,05/03/2016 01:30:00 AM,058XX S SANGAMON ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,True,712,7.0,16.0,68.0,26,1170978.0,1865954.0,2016,05/10/2016 03:56:50 PM,41.787650639,-87.648633945,"(41.787650639, -87.648633945)"
28911,10511336,HZ252504,05/03/2016 10:00:00 AM,020XX N CLARK ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER,False,False,1814,18.0,43.0,7.0,11,1173986.0,1913691.0,2016,05/10/2016 03:56:50 PM,41.918578314,-87.636183854,"(41.918578314, -87.636183854)"
28932,10511361,HZ252601,05/03/2016 12:27:00 PM,018XX S CALUMET AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,OTHER,False,False,132,1.0,2.0,33.0,11,1178756.0,1891402.0,2016,05/10/2016 03:56:50 PM,41.857308478,-87.619340066,"(41.857308478, -87.619340066)"
29127,10511443,HZ252729,05/03/2016 06:30:00 PM,026XX N MOZART ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1411,14.0,35.0,22.0,07,1156925.0,1917430.0,2016,05/10/2016 03:56:50 PM,41.929201886,-87.698765756,"(41.929201886, -87.698765756)"
29933,10511493,HZ252767,05/03/2016 02:30:00 PM,052XX W LAKE ST,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False,1523,15.0,28.0,25.0,05,1141195.0,1902044.0,2016,05/10/2016 03:56:50 PM,41.887285871,-87.756949272,"(41.887285871, -87.756949272)"
30040,10511513,HZ251916,05/03/2016 11:25:00 PM,002XX N ABERDEEN ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1214,12.0,27.0,28.0,14,1169100.0,1901749.0,2016,05/10/2016 03:56:50 PM,41.885916313,-87.654482517,"(41.885916313, -87.654482517)"
30278,10511515,HZ251902,05/03/2016 05:00:00 PM,035XX N Wilton Ave,0890,THEFT,FROM BUILDING,APARTMENT,False,False,1924,19.0,44.0,6.0,06,1169310.0,1923616.0,2016,05/10/2016 03:56:50 PM,41.945916003,-87.653074432,"(41.945916003, -87.653074432)"
30430,10511516,HZ252310,05/03/2016 02:00:00 PM,031XX W MADISON ST,0890,THEFT,FROM BUILDING,DRUG STORE,False,False,1222,12.0,28.0,27.0,06,1155397.0,1899849.0,2016,05/10/2016 03:56:50 PM,41.880988964,-87.704854042,"(41.880988964, -87.704854042)"
30452,10511522,HZ251882,05/03/2016 08:00:00 AM,033XX N Page Ave,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,,False,False,1631,16.0,36.0,17.0,11,1121837.0,1921147.0,2016,05/10/2016 03:56:50 PM,41.940042028,-87.827625466,"(41.940042028, -87.827625466)"
30474,10511543,HZ252763,05/03/2016 06:00:00 PM,061XX N WINTHROP AVE,0820,THEFT,$500 AND UNDER,OTHER,False,False,2433,24.0,48.0,77.0,06,1167747.0,1940929.0,2016,05/10/2016 03:56:50 PM,41.993457327,-87.658318065,"(41.993457327, -87.658318065)"
30496,10511654,HZ252984,05/03/2016 10:00:00 PM,059XX S INDIANA AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,232,2.0,20.0,40.0,06,1178617.0,1865611.0,2016,05/10/2016 03:56:50 PM,41.786539062,-87.620635522,"(41.786539062, -87.620635522)"
30691,10511697,HZ253073,05/03/2016 12:00:00 AM,006XX N KINGSBURY ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,OTHER,False,True,1831,18.0,42.0,8.0,26,1172883.0,1904116.0,2016,05/10/2016 03:56:50 PM,41.892328543,-87.640520462,"(41.892328543, -87.640520462)"
30975,10512013,HZ253292,05/03/2016 04:00:00 PM,039XX N NEENAH AVE,0560,ASSAULT,SIMPLE,OTHER,False,False,1632,16.0,38.0,17.0,08A,1131814.0,1925542.0,2016,05/10/2016 03:56:50 PM,41.951935032,-87.790853806,"(41.951935032, -87.790853806)"
31841,10509509,HZ250880,05/04/2016 08:00:00 AM,017XX W POLK ST,0265,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,OTHER,False,False,1231,12.0,2.0,28.0,02,1164782.0,1896486.0,2016,05/11/2016 03:50:55 PM,41.871566847,-87.670488348,"(41.871566847, -87.670488348)"
32083,10509510,HZ250980,05/04/2016 11:58:00 AM,016XX E 69TH ST,1330,CRIMINAL TRESPASS,TO LAND,OTHER,True,False,332,3.0,5.0,43.0,26,1188588.0,1859566.0,2016,05/11/2016 03:50:55 PM,41.76971848,-87.584270226,"(41.76971848, -87.584270226)"
